"","obsid","leadid","ccode","idacr","country","continent","leader","startdate","enddate","entry","exit","exitcode","gender","yrborn"
"1","USA-1869","81dcc176-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Grant",1869-03-04,1877-03-04,"Regular","Regular","Regular","M",1822
"2","USA-1877","81dcc177-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Hayes",1877-03-04,1881-03-04,"Regular","Regular","Regular","M",1822
"3","USA-1881-2","81dcf24b-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Arthur",1881-09-19,1885-03-04,"Regular","Regular","Regular","M",1829
"4","USA-1885","34fb1558-3bbd-11e5-afeb-eb6f07f9fec7",2,"USA","United States of America","Americas","Cleveland",1885-03-04,1889-03-04,"Regular","Regular","Regular","M",1837
"5","USA-1889","81dcf24d-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Harrison",1889-03-04,1893-03-04,"Regular","Regular","Regular","M",1833
"6","USA-1893","34fb1558-3bbd-11e5-afeb-eb6f07f9fec7",2,"USA","United States of America","Americas","Cleveland",1893-03-04,1897-03-04,"Regular","Regular","Regular","M",1837
"7","USA-1897","81dcf24e-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","McKinley",1897-03-04,1901-09-14,"Regular","Irregular","Assassination by Unsupported Individual","M",1843
"8","USA-1901","81dd231e-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Roosevelt, T.",1901-09-14,1909-03-04,"Regular","Regular","Regular","M",1858
"9","USA-1909","81dd231f-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Taft",1909-03-04,1913-03-04,"Regular","Regular","Regular","M",1857
"10","USA-1913","81dd2320-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Wilson",1913-03-04,1921-03-04,"Regular","Regular","Regular","M",1856
"11","USA-1921","81dd2321-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Harding",1921-03-04,1923-08-03,"Regular","Natural Death","Regular","M",1865
"12","USA-1923","81dd2322-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Coolidge",1923-08-03,1929-03-04,"Regular","Regular","Regular","M",1872
"13","USA-1929","81dd53f2-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Hoover",1929-03-04,1933-03-04,"Regular","Regular","Regular","M",1874
"14","USA-1933","81dd53f3-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Roosevelt, F.",1933-03-04,1945-04-12,"Regular","Natural Death","Regular","M",1882
"15","USA-1945","81dd53f4-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Truman",1945-04-12,1953-01-20,"Regular","Regular","Regular","M",1884
"16","USA-1953","81dd53f5-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Eisenhower",1953-01-20,1961-01-20,"Regular","Regular","Regular","M",1890
"17","USA-1961","81dd53f6-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Kennedy",1961-01-20,1963-11-22,"Regular","Irregular","Assassination by Unsupported Individual","M",1917
"18","USA-1963","81dd84c6-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Johnson",1963-11-22,1969-01-20,"Regular","Regular","Regular","M",1908
"19","USA-1969","81dd84c7-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Nixon",1969-01-20,1974-08-09,"Regular","Regular","Regular","M",1913
"20","USA-1974","81dd84c8-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Ford",1974-08-09,1977-01-20,"Regular","Regular","Regular","M",1913
"21","USA-1977","81dd84c9-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Carter",1977-01-20,1981-01-20,"Regular","Regular","Regular","M",1924
"22","USA-1981","81dd84ca-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Reagan",1981-01-20,1989-01-20,"Regular","Regular","Regular","M",1911
"23","USA-1989","81ddb59a-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","G.H.W. Bush",1989-01-20,1993-01-20,"Regular","Regular","Regular","M",1924
"24","USA-1993","81ddb59b-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Clinton",1993-01-20,2001-01-20,"Regular","Regular","Regular","M",1946
"25","USA-2001","81ddb59c-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","G.W. Bush",2001-01-21,2009-01-20,"Regular","Regular","Regular","M",1946
"26","USA-2009","824fc72f-1e42-11e4-b4cd-db5882bf8def",2,"USA","United States of America","Americas","Obama",2009-01-20,2017-01-20,"Regular","Regular","Still in Office","M",1961
"27","USA_2017_1",NA,2,"USA","United States of America","Americas","Trump",2017-01-20,2021-01-20,"Regular","Regular","Regular","M",1946
"28","USA_2021_1",NA,2,"USA","United States of America","Americas","Joe Biden",2021-01-20,2024-07-04,"Regular","Still in Office","Still in Office","M",1942
"29","CAN-1873","81ddb59d-1e42-11e4-b4cd-db5882bf8def",20,"CAN","Canada","Americas","Mackenzie",1873-11-07,1878-10-17,"Regular","Regular","Regular","M",1822
"30","CAN-1878","197110a8-3bbd-11e5-afeb-eb6f07f9fec7",20,"CAN","Canada","Americas","Macdonald",1878-10-17,1891-06-06,"Regular","Natural Death","Regular","M",1815
"31","CAN-1891","81ddb59e-1e42-11e4-b4cd-db5882bf8def",20,"CAN","Canada","Americas","Abbott",1891-06-16,1892-12-05,"Regular","Regular","Regular","M",1821
"32","CAN-1892","81dde678-1e42-11e4-b4cd-db5882bf8def",20,"CAN","Canada","Americas","Thompson",1892-12-05,1894-12-12,"Regular","Natural Death","Regular","M",1845
"33","CAN-1894","81dde679-1e42-11e4-b4cd-db5882bf8def",20,"CAN","Canada","Americas","Bowell",1894-12-21,1896-05-01,"Regular","Regular","Regular","M",1823
"34","CAN-1896-2","81de4820-1e42-11e4-b4cd-db5882bf8def",20,"CAN","Canada","Americas","Laurier",1896-07-11,1911-10-10,"Regular","Regular","Regular","M",1841
"35","CAN-1911","81de4821-1e42-11e4-b4cd-db5882bf8def",20,"CAN","Canada","Americas","Borden",1911-10-10,1920-06-10,"Regular","Retired Due to Ill Health","Regular","M",1854
"36","CAN-1920","81de4822-1e42-11e4-b4cd-db5882bf8def",20,"CAN","Canada","Americas","Meighen",1920-07-10,1921-12-29,"Regular","Regular","Regular","M",1874
"37","CAN-1921","81de4823-1e42-11e4-b4cd-db5882bf8def",20,"CAN","Canada","Americas","King",1921-12-29,1926-06-28,"Regular","Regular","Regular","M",1874
"38","CAN-1926-2","81de4823-1e42-11e4-b4cd-db5882bf8def",20,"CAN","Canada","Americas","King",1926-09-25,1930-08-07,"Regular","Regular","Regular","M",1874
"39","CAN-1930","81de4824-1e42-11e4-b4cd-db5882bf8def",20,"CAN","Canada","Americas","Bennett",1930-08-07,1935-10-23,"Regular","Regular","Regular","M",1870
"40","CAN-1935","81de4823-1e42-11e4-b4cd-db5882bf8def",20,"CAN","Canada","Americas","King",1935-10-23,1948-11-15,"Regular","Retired Due to Ill Health","Regular","M",1874
"41","CAN-1948","81de78f4-1e42-11e4-b4cd-db5882bf8def",20,"CAN","Canada","Americas","St. Laurent",1948-11-15,1957-06-21,"Regular","Regular","Regular","M",1882
"42","CAN-1957","81de78f5-1e42-11e4-b4cd-db5882bf8def",20,"CAN","Canada","Americas","Diefenbaker",1957-06-21,1963-04-22,"Regular","Regular","Regular","M",1895
"43","CAN-1963","81de78f6-1e42-11e4-b4cd-db5882bf8def",20,"CAN","Canada","Americas","Pearson",1963-04-22,1968-04-20,"Regular","Regular","Regular","M",1897
"44","CAN-1968","81de78f7-1e42-11e4-b4cd-db5882bf8def",20,"CAN","Canada","Americas","Pierre Trudeau",1968-04-20,1979-06-04,"Regular","Regular","Regular","M",1919
"45","CAN-1979","81de78f8-1e42-11e4-b4cd-db5882bf8def",20,"CAN","Canada","Americas","Clark",1979-06-04,1980-03-03,"Regular","Regular","Regular","M",1939
"46","CAN-1980","81de78f7-1e42-11e4-b4cd-db5882bf8def",20,"CAN","Canada","Americas","Pierre Trudeau",1980-03-03,1984-06-30,"Regular","Regular","Regular","M",1919
"47","CAN-1984-2","81dea9c8-1e42-11e4-b4cd-db5882bf8def",20,"CAN","Canada","Americas","Mulroney",1984-09-17,1993-06-25,"Regular","Regular","Regular","M",1939
"48","CAN-1993-2","81dea9ca-1e42-11e4-b4cd-db5882bf8def",20,"CAN","Canada","Americas","Chretien",1993-11-04,2003-12-12,"Regular","Regular","Regular","M",1939
"49","CAN-2003","81dea9cb-1e42-11e4-b4cd-db5882bf8def",20,"CAN","Canada","Americas","Paul Martin",2003-12-12,2006-02-06,"Regular","Regular","Regular","M",1938
"50","CAN-2006","824ff7fe-1e42-11e4-b4cd-db5882bf8def",20,"CAN","Canada","Americas","Harper",2006-02-06,2015-11-04,"Regular","Regular","Regular","M",1959
"51","CAN_2015_1",NA,20,"CAN","Canada","Americas","Justin Trudeau",2015-11-04,2024-07-04,"Regular","Still in Office","Still in Office","M",1971
"52","BHM-1967","81dea9cc-1e42-11e4-b4cd-db5882bf8def",31,"BHM","Bahamas","Americas","Pindling",1967-01-16,1992-08-21,"Regular","Regular","Regular","M",1930
"53","BHM-1992","3500baa8-3bbd-11e5-afeb-eb6f07f9fec7",31,"BHM","Bahamas","Americas","Ingraham",1992-08-21,2002-05-03,"Regular","Regular","Regular","M",1947
"54","BHM-2002","81deda9d-1e42-11e4-b4cd-db5882bf8def",31,"BHM","Bahamas","Americas","Christie",2002-05-03,2005-05-04,"Regular","Regular","Regular","M",1943
"55","BHM-2005-2","81deda9d-1e42-11e4-b4cd-db5882bf8def",31,"BHM","Bahamas","Americas","Christie",2005-06-22,2007-05-04,"Regular","Regular","Regular","M",1943
"56","BHM-2007","3500baa8-3bbd-11e5-afeb-eb6f07f9fec7",31,"BHM","Bahamas","Americas","Ingraham",2007-05-04,2012-05-08,"Regular","Regular","Regular","M",1947
"57","BHM-2012","81deda9d-1e42-11e4-b4cd-db5882bf8def",31,"BHM","Bahamas","Americas","Christie",2012-05-08,2017-05-11,"Regular","Regular","Still in Office","M",1943
"58","BHM_2017_1",NA,31,"BHM","Bahamas","Americas","Minnis",2017-05-11,2021-09-17,"Regular","Regular","Regular","M",1954
"59","BHM_2021_1",NA,31,"BHM","Bahamas","Americas","Philip Brave Davis",2021-09-17,2024-07-04,"Regular","Still in Office","Still in Office","M",1951
"60","CUB-1902","81deda9e-1e42-11e4-b4cd-db5882bf8def",40,"CUB","Cuba","Americas","Palma",1902-05-20,1906-09-28,"Regular","Irregular","Unknown","M",1835
"61","CUB-1909","81deda9f-1e42-11e4-b4cd-db5882bf8def",40,"CUB","Cuba","Americas","Gomez",1909-01-28,1913-05-20,"Regular","Regular","Regular","M",1858
"62","CUB-1913","81dedaa0-1e42-11e4-b4cd-db5882bf8def",40,"CUB","Cuba","Americas","Menocal",1913-05-20,1921-05-20,"Regular","Regular","Regular","M",1868
"63","CUB-1921","81df0b70-1e42-11e4-b4cd-db5882bf8def",40,"CUB","Cuba","Americas","Zyas y Alfonso",1921-05-20,1925-05-20,"Regular","Regular","Regular","M",1861
"64","CUB-1925","81df0b71-1e42-11e4-b4cd-db5882bf8def",40,"CUB","Cuba","Americas","Machado Morales",1925-05-20,1933-08-12,"Regular","Irregular","Removed by Military, without Foreign Support","M",1871
"65","CUB-1934-2","81df0b75-1e42-11e4-b4cd-db5882bf8def",40,"CUB","Cuba","Americas","Mendieta",1934-01-18,1935-12-12,"Irregular","Regular","Regular","M",1873
"66","CUB-1936-2","81df3c46-1e42-11e4-b4cd-db5882bf8def",40,"CUB","Cuba","Americas","Laredo Bru",1936-12-28,1940-10-10,"Regular","Regular","Regular","M",1875
"67","CUB-1940","81df3c47-1e42-11e4-b4cd-db5882bf8def",40,"CUB","Cuba","Americas","Batista",1940-10-10,1944-10-10,"Regular","Regular","Regular","M",1901
"68","CUB-1944","81df0b73-1e42-11e4-b4cd-db5882bf8def",40,"CUB","Cuba","Americas","Grau San Martin",1944-10-10,1948-10-10,"Regular","Regular","Regular","M",1882
"69","CUB-1948","81df3c48-1e42-11e4-b4cd-db5882bf8def",40,"CUB","Cuba","Americas","Prio Socarres",1948-10-10,1952-03-10,"Regular","Irregular","Removed by Military, without Foreign Support","M",1903
"70","CUB-1952","81df3c47-1e42-11e4-b4cd-db5882bf8def",40,"CUB","Cuba","Americas","Batista",1952-03-10,1959-01-01,"Irregular","Irregular","Removed by Rebels, without Foreign Support","M",1901
"71","CUB-1959","81df6d18-1e42-11e4-b4cd-db5882bf8def",40,"CUB","Cuba","Americas","Castro",1959-01-02,2008-02-24,"Irregular","Retired Due to Ill Health","Regular","M",1927
"72","CUB-2008","824ff801-1e42-11e4-b4cd-db5882bf8def",40,"CUB","Cuba","Americas","Raul Castro",2008-02-24,2019-10-10,"Regular","Regular","Still in Office","M",1931
"73","CUB_2019_1",NA,40,"CUB","Cuba","Americas","Díaz-Canel",2019-10-10,2024-07-04,"Regular","Still in Office","Still in Office","M",1960
"74","HAI-1874","81df6d19-1e42-11e4-b4cd-db5882bf8def",41,"HAI","Haiti","Americas","Rameau",1874-06-11,1876-04-15,"Irregular","Irregular","Removed by Military, without Foreign Support","M",1828
"75","HAI-1876","81df6d1a-1e42-11e4-b4cd-db5882bf8def",41,"HAI","Haiti","Americas","Canal",1876-04-23,1879-07-17,"Irregular","Irregular","Unknown","M",1832
"76","HAI-1879-3","81df9dec-1e42-11e4-b4cd-db5882bf8def",41,"HAI","Haiti","Americas","Salomon",1879-10-23,1888-08-10,"Irregular","Irregular","Unknown","M",1815
"77","HAI-1888-2","81df9ded-1e42-11e4-b4cd-db5882bf8def",41,"HAI","Haiti","Americas","Legitime",1888-10-16,1889-08-22,"Irregular","Irregular","Unknown","M",1841
"78","HAI-1889","81df9dee-1e42-11e4-b4cd-db5882bf8def",41,"HAI","Haiti","Americas","Hippolyte",1889-08-25,1896-03-24,"Irregular","Natural Death","Regular","M",1827
"79","HAI-1896","81df9def-1e42-11e4-b4cd-db5882bf8def",41,"HAI","Haiti","Americas","P. A. T. Simon",1896-03-31,1902-05-12,"Regular","Regular","Regular","M",1835
"80","HAI-1902-2","81df9df0-1e42-11e4-b4cd-db5882bf8def",41,"HAI","Haiti","Americas","Nord",1902-12-17,1908-12-20,"Irregular","Irregular","Unknown","M",1820
"81","HAI-1908","81dfceca-1e42-11e4-b4cd-db5882bf8def",41,"HAI","Haiti","Americas","A. Simon",1908-12-20,1911-08-03,"Irregular","Irregular","Unknown","M",1844
"82","HAI-1911","81dfcecb-1e42-11e4-b4cd-db5882bf8def",41,"HAI","Haiti","Americas","Leconte",1911-08-07,1912-08-08,"Irregular","Irregular","Unknown","M",1854
"83","HAI-1912","81dfcecc-1e42-11e4-b4cd-db5882bf8def",41,"HAI","Haiti","Americas","Tancred Auguste",1912-08-08,1913-05-12,"Irregular","Natural Death","Regular","M",1856
"84","HAI-1934","81dfffa0-1e42-11e4-b4cd-db5882bf8def",41,"HAI","Haiti","Americas","Vincent",1934-08-15,1941-05-15,"Regular","Regular","Regular","M",1874
"85","HAI-1941","81dfffa1-1e42-11e4-b4cd-db5882bf8def",41,"HAI","Haiti","Americas","Lescot",1941-05-15,1946-01-11,"Regular","Irregular","Removed by Military, without Foreign Support","M",1883
"86","HAI-1946-2","81e03072-1e42-11e4-b4cd-db5882bf8def",41,"HAI","Haiti","Americas","Estime",1946-08-16,1950-05-10,"Regular","Irregular","Removed by Military, without Foreign Support","M",1900
"87","HAI-1950","81e03073-1e42-11e4-b4cd-db5882bf8def",41,"HAI","Haiti","Americas","Magloire",1950-05-10,1956-12-12,"Regular","Irregular","Removed by Military, without Foreign Support","M",1907
"88","HAI-1957-7","81e06148-1e42-11e4-b4cd-db5882bf8def",41,"HAI","Haiti","Americas","Duvalier, Francois",1957-10-15,1971-04-22,"Regular","Natural Death","Regular","M",1907
"89","HAI-1971","81e06149-1e42-11e4-b4cd-db5882bf8def",41,"HAI","Haiti","Americas","Duvalier, Jean-Claude",1971-04-22,1986-02-07,"Regular","Irregular","Removed by Military, without Foreign Support","M",1951
"90","HAI-1986","81e0614a-1e42-11e4-b4cd-db5882bf8def",41,"HAI","Haiti","Americas","Namphy",1986-02-07,1988-02-07,"Irregular","Regular","Regular","M",1932
"91","HAI-1988-3","81e0921b-1e42-11e4-b4cd-db5882bf8def",41,"HAI","Haiti","Americas","Avril",1988-09-17,1990-03-10,"Irregular","Irregular","Popular Protest, without Foreign Support","M",1938
"92","HAI-1990-2","81e0921d-1e42-11e4-b4cd-db5882bf8def",41,"HAI","Haiti","Americas","Pascal-Troillet",1990-03-13,1991-02-07,"Regular","Regular","Regular","F",1943
"93","HAI-1991-2","81e0c2ee-1e42-11e4-b4cd-db5882bf8def",41,"HAI","Haiti","Americas","Cedras",1991-09-30,1994-10-14,"Irregular","Foreign","Removed through Threat of Foreign Force","M",1949
"94","HAI-1994","81e0921e-1e42-11e4-b4cd-db5882bf8def",41,"HAI","Haiti","Americas","Aristide",1994-10-15,1996-02-07,"Foreign Imposition","Regular","Regular","M",1953
"95","HAI-1996","81e0c2ef-1e42-11e4-b4cd-db5882bf8def",41,"HAI","Haiti","Americas","Preval",1996-02-07,2001-02-07,"Regular","Regular","Regular","M",1943
"96","HAI-2001","81e0921e-1e42-11e4-b4cd-db5882bf8def",41,"HAI","Haiti","Americas","Aristide",2001-02-08,2004-02-29,"Regular","Irregular","Removed by Rebels, with Foreign Support","M",1953
"97","HAI-2004","81e0c2f0-1e42-11e4-b4cd-db5882bf8def",41,"HAI","Haiti","Americas","Boniface Alexandre",2004-02-29,2006-05-14,"Regular","Regular","Regular","M",1936
"98","HAI-2006","81e0c2ef-1e42-11e4-b4cd-db5882bf8def",41,"HAI","Haiti","Americas","Preval",2006-05-14,2011-05-14,"Regular","Regular","Regular","M",1943
"99","HAI-2011","824ff802-1e42-11e4-b4cd-db5882bf8def",41,"HAI","Haiti","Americas","Martelly",2011-05-14,2016-02-07,"Regular","Regular","Still in Office","M",1961
"100","HAI_2016_2",NA,41,"HAI","Haiti","Americas","Jocelerme Privert",2016-02-14,2017-02-07,"Regular","Regular","Regular","M",1953
"101","HAI_2017_1",NA,41,"HAI","Haiti","Americas","Jovenel Moise",2017-02-07,2021-07-07,"Regular","Assassination","Assassination","M",1968
"102","HAI_2021_2",NA,41,"HAI","Haiti","Americas","Ariel Henry",2022-07-20,2023-12-31,"Regular","Still in office","Still in office","M",1949
"103","DOM-1874","81e0c2f1-1e42-11e4-b4cd-db5882bf8def",42,"DOM","Dominican Republic","Americas","Gonzalez",1874-01-02,1876-02-23,"Irregular","Irregular","Unknown","M",1840
"104","DOM-1876-4","81de4823-1e42-11e4-b4cd-db5882bf8def",42,"DOM","Dominican Republic","Americas","Buenaventura Baez",1876-12-26,1878-03-02,"Irregular","Irregular","Unknown","M",1812
"105","DOM-1878-4","81e0f3c3-1e42-11e4-b4cd-db5882bf8def",42,"DOM","Dominican Republic","Americas","Guillermo",1878-09-30,1879-12-06,"Irregular","Irregular","Unknown","M",1847
"106","DOM-1880","81e0f3c5-1e42-11e4-b4cd-db5882bf8def",42,"DOM","Dominican Republic","Americas","de Merino",1880-09-01,1882-09-01,"Regular","Regular","Regular","M",1833
"107","DOM-1882","81e0f3c6-1e42-11e4-b4cd-db5882bf8def",42,"DOM","Dominican Republic","Americas","Heureaux",1882-09-01,1884-09-01,"Regular","Regular","Regular","M",1845
"108","DOM-1885","81e12496-1e42-11e4-b4cd-db5882bf8def",42,"DOM","Dominican Republic","Americas","Woss y Gil",1885-05-16,1887-01-06,"Regular","Regular","Regular","M",1856
"109","DOM-1887","81e0f3c6-1e42-11e4-b4cd-db5882bf8def",42,"DOM","Dominican Republic","Americas","Heureaux",1887-01-06,1899-07-26,"Regular","Irregular","Unknown","M",1845
"110","DOM-1899-3","81e12499-1e42-11e4-b4cd-db5882bf8def",42,"DOM","Dominican Republic","Americas","Jimenez",1899-11-15,1902-05-02,"Regular","Irregular","Unknown","M",1846
"111","DOM-1902","81e12498-1e42-11e4-b4cd-db5882bf8def",42,"DOM","Dominican Republic","Americas","Vasquez",1902-05-02,1903-04-18,"Irregular","Irregular","Unknown","M",1860
"112","DOM-1903-2","81e1249a-1e42-11e4-b4cd-db5882bf8def",42,"DOM","Dominican Republic","Americas","Morales",1903-11-04,1905-12-25,"Irregular","Irregular","Unknown","M",1867
"113","DOM-1905","81e1556a-1e42-11e4-b4cd-db5882bf8def",42,"DOM","Dominican Republic","Americas","Caceres",1905-12-25,1911-11-19,"Regular","Irregular","Unknown","M",1866
"114","DOM-1911","81e1556b-1e42-11e4-b4cd-db5882bf8def",42,"DOM","Dominican Republic","Americas","Victoria",1911-12-02,1912-11-28,"Irregular","Irregular","Unknown","M",1864
"115","DOM-1913","81e1556d-1e42-11e4-b4cd-db5882bf8def",42,"DOM","Dominican Republic","Americas","Bordas y Valdes",1913-04-13,1914-08-27,"Regular","Foreign","Unknown","M",1874
"116","DOM-1914-2","81e12499-1e42-11e4-b4cd-db5882bf8def",42,"DOM","Dominican Republic","Americas","Jimenez",1914-12-05,1916-05-08,"Regular","Foreign","Unknown","M",1846
"117","DOM-1924","81e12498-1e42-11e4-b4cd-db5882bf8def",42,"DOM","Dominican Republic","Americas","Vasquez",1924-07-12,1930-02-27,"Irregular","Irregular","Removed by Military, without Foreign Support","M",1860
"118","DOM-1930-2","81e1863f-1e42-11e4-b4cd-db5882bf8def",42,"DOM","Dominican Republic","Americas","Rafel Trujillo",1930-08-16,1961-05-30,"Regular","Irregular","Removed by Military, without Foreign Support","M",1891
"119","DOM-1962-2","81e1e7f0-1e42-11e4-b4cd-db5882bf8def",42,"DOM","Dominican Republic","Americas","Filiberto Bonnelly",1962-01-19,1963-02-27,"Regular","Regular","Regular","M",1904
"120","DOM-1963-3","81e218c5-1e42-11e4-b4cd-db5882bf8def",42,"DOM","Dominican Republic","Americas","Cabral",1963-12-22,1965-04-25,"Irregular","Irregular","Removed by Military, without Foreign Support","M",1923
"121","DOM-1965-4","81e27a6d-1e42-11e4-b4cd-db5882bf8def",42,"DOM","Dominican Republic","Americas","Godoy",1965-09-03,1966-07-01,"Regular","Regular","Regular","M",1921
"122","DOM-1966","81e1b71c-1e42-11e4-b4cd-db5882bf8def",42,"DOM","Dominican Republic","Americas","Balaguer",1966-07-01,1978-07-01,"Regular","Regular","Regular","M",1907
"123","DOM-1978","81e2ab40-1e42-11e4-b4cd-db5882bf8def",42,"DOM","Dominican Republic","Americas","Guzman Fernandez",1978-07-01,1982-07-04,"Regular","Suicide","Regular","M",1911
"124","DOM-1982-2","81e2dc14-1e42-11e4-b4cd-db5882bf8def",42,"DOM","Dominican Republic","Americas","Blanco",1982-08-16,1986-08-16,"Regular","Regular","Regular","M",1926
"125","DOM-1986","81e1b71c-1e42-11e4-b4cd-db5882bf8def",42,"DOM","Dominican Republic","Americas","Balaguer",1986-08-16,1996-08-16,"Regular","Regular","Regular","M",1907
"126","DOM-1996","81e2dc15-1e42-11e4-b4cd-db5882bf8def",42,"DOM","Dominican Republic","Americas","Fernandez Reyna",1996-08-16,2000-08-16,"Regular","Regular","Regular","M",1953
"127","DOM-2000","81e30ce8-1e42-11e4-b4cd-db5882bf8def",42,"DOM","Dominican Republic","Americas","Hipolito Mejia",2000-08-17,2004-08-16,"Regular","Regular","Regular","M",1941
"128","DOM-2004","81e2dc15-1e42-11e4-b4cd-db5882bf8def",42,"DOM","Dominican Republic","Americas","Fernandez Reyna",2004-08-16,2012-08-16,"Regular","Regular","Regular","M",1953
"129","DOM-2012","2b37a44e-3481-11e4-8dba-bbcd9ed46413",42,"DOM","Dominican Republic","Americas","Medina",2012-08-16,2020-08-16,"Regular","Regular","Still in Office","M",1951
"130","DOM_2020_1",NA,42,"DOM","Dominican Republic","Americas","Luis Abinader",2020-08-16,2024-07-04,"Regular","Still in Office","Still in Office","M",1967
"131","JAM-1962","81e30ce9-1e42-11e4-b4cd-db5882bf8def",51,"JAM","Jamaica","Americas","Bustamante",1962-08-06,1967-02-22,"Regular","Regular","Regular","M",1884
"132","JAM-1967-2","81e30ceb-1e42-11e4-b4cd-db5882bf8def",51,"JAM","Jamaica","Americas","Shearer",1967-04-11,1972-03-02,"Regular","Regular","Regular","M",1923
"133","JAM-1972","81e30cec-1e42-11e4-b4cd-db5882bf8def",51,"JAM","Jamaica","Americas","Manley",1972-03-02,1980-11-01,"Regular","Regular","Regular","M",1924
"134","JAM-1980","81e33dbc-1e42-11e4-b4cd-db5882bf8def",51,"JAM","Jamaica","Americas","Seaga",1980-11-01,1989-02-10,"Regular","Regular","Regular","M",1930
"135","JAM-1989","81e30cec-1e42-11e4-b4cd-db5882bf8def",51,"JAM","Jamaica","Americas","Manley",1989-02-10,1992-03-30,"Regular","Retired Due to Ill Health","Regular","M",1924
"136","JAM-1992","81e33dbd-1e42-11e4-b4cd-db5882bf8def",51,"JAM","Jamaica","Americas","Patterson",1992-03-30,2006-03-30,"Regular","Regular","Regular","M",1935
"137","JAM-2006","2b37a44f-3481-11e4-8dba-bbcd9ed46413",51,"JAM","Jamaica","Americas","Simpson-Miller",2006-03-30,2007-09-11,"Regular","Regular","Regular","F",1945
"138","JAM-2007","825028d2-1e42-11e4-b4cd-db5882bf8def",51,"JAM","Jamaica","Americas","Golding",2007-09-11,2011-10-23,"Regular","Regular","Regular","M",1947
"139","JAM-2012","2b37a44f-3481-11e4-8dba-bbcd9ed46413",51,"JAM","Jamaica","Americas","Simpson-Miller",2012-01-05,2016-03-03,"Regular","Regular","Still in Office","F",1945
"140","JAM_2016_1",NA,51,"JAM","Jamaica","Americas","Andrew Holness",2016-03-03,2024-07-04,"Regular","Still in Office","Still in Office","M",1972
"141","TRI-1962","81e33dbe-1e42-11e4-b4cd-db5882bf8def",52,"TRI","Trinidad and Tobago","Americas","Williams",1962-08-31,1981-03-29,"Regular","Natural Death","Regular","M",1911
"142","TRI-1981","81e33dbf-1e42-11e4-b4cd-db5882bf8def",52,"TRI","Trinidad and Tobago","Americas","Chambers",1981-03-30,1986-12-18,"Regular","Regular","Regular","M",1928
"143","TRI-1986","81e33dc0-1e42-11e4-b4cd-db5882bf8def",52,"TRI","Trinidad and Tobago","Americas","Robinson",1986-12-18,1991-12-07,"Regular","Regular","Regular","M",1926
"144","TRI-1991","81e36e90-1e42-11e4-b4cd-db5882bf8def",52,"TRI","Trinidad and Tobago","Americas","Manning",1991-12-16,1995-11-09,"Regular","Regular","Regular","M",1946
"145","TRI-1995","81e36e91-1e42-11e4-b4cd-db5882bf8def",52,"TRI","Trinidad and Tobago","Americas","Panday",1995-11-09,2001-12-24,"Regular","Regular","Regular","M",1933
"146","TRI-2001","81e36e90-1e42-11e4-b4cd-db5882bf8def",52,"TRI","Trinidad and Tobago","Americas","Manning",2001-12-25,2010-05-26,"Regular","Regular","Regular","M",1947
"147","TRI-2010","825028d4-1e42-11e4-b4cd-db5882bf8def",52,"TRI","Trinidad and Tobago","Americas","Kamla Persad-Bissessar",2010-05-26,2015-09-09,"Regular","Regular","Regular","F",1952
"148","TRI_2015_1",NA,52,"TRI","Trinidad and Tobago","Americas","Keith Rowley",2015-09-09,2024-07-04,"Regular","Still in Office","Still in Office","M",1949
"149","BAR-1966","81e36e92-1e42-11e4-b4cd-db5882bf8def",53,"BAR","Barbados","Americas","Barrow",1966-11-18,1976-09-08,"Regular","Regular","Regular","M",1920
"150","BAR-1976","81e36e93-1e42-11e4-b4cd-db5882bf8def",53,"BAR","Barbados","Americas","Adams",1976-10-08,1985-03-11,"Regular","Natural Death","Regular","M",1931
