id,ccode,country,leader,age,tstart,tstop,group,survival_days,status,GDP_trend,GDP_pc,pop_log,polity5,violence
14,91,Honduras,Lopez Arellano,42,1963,1964,B,2803,0,1.0203375162267418,2.358,5.443127415331704,-1,0
14,91,Honduras,Lopez Arellano,43,1964,1965,B,2803,0,1.039044992242717,2.411,5.4750734648691095,-1,0
14,91,Honduras,Lopez Arellano,44,1965,1966,B,2803,0,1.0590796550840946,2.481,5.5121698896213385,-1,0
14,91,Honduras,Lopez Arellano,45,1966,1967,B,2803,0,1.0626313577133248,2.528,5.542349230098992,-1,0
14,91,Honduras,Lopez Arellano,46,1967,1968,B,2803,0,1.061256501279617,2.571,5.57816256073155,-1,0
14,91,Honduras,Lopez Arellano,47,1968,1969,B,2803,0,1.059195076524415,2.616,5.6097061999444495,-1,0
14,91,Honduras,Lopez Arellano,48,1969,1970,B,2803,0,1.0272071071626874,2.59,5.639133725221492,-1,2
14,91,Honduras,Lopez Arellano,49,1970,1971,B,2803,0,1.0081338964492412,2.578,5.6683625294249405,-1,1
15,91,Honduras,Lopez Arellano,51,1972,1973,B,869,0,1.021849907350216,2.647,5.72666532052494,-1,1
15,91,Honduras,Lopez Arellano,52,1973,1974,B,869,0,1.0469757445501997,2.728,5.7500647347567595,-1,1
15,91,Honduras,Lopez Arellano,53,1974,1975,B,869,1,1.0540334855403348,2.77,5.7541238160802735,-1,1
16,91,Honduras,Micheletti,61,2009,2010,B,213,0,1.0335238289621391,4.051,6.744149877134028,7,0
17,91,Honduras,Hernández,47,2015,2016,A,2557,0,1.0621957559430977,4.495,6.860632224412953,7,0
17,91,Honduras,Hernández,48,2016,2017,A,2557,0,1.075006957973838,4.635,6.878542716792587,7,0
17,91,Honduras,Hernández,49,2017,2018,A,2557,0,1.0810872129957345,4.765,6.892849741345157,7,0
17,91,Honduras,Hernández,50,2018,2019,A,2557,0,1.0714602161970581,4.837,6.90635529946797,7,0
18,92,El Salvador,Osorio,39,1949,1949,B,291,0,1.024359775140537,1.64,5.25830754212834,-6,0
19,92,El Salvador,Portillo,47,1961,1962,B,365,0,0.9943639291465378,1.482,5.606636277068944,-3,0
20,92,El Salvador,Majano Ramos,41,1979,1980,B,419,1,1.0089745868135773,2.271,6.107615139943218,6,6
21,93,Nicaragua,Anastasio Somoza Debayle,47,1972,1973,A,2633,0,1.015504689906202,5.803,5.583424877659128,-8,0
21,93,Nicaragua,Anastasio Somoza Debayle,48,1973,1974,A,2633,0,1.0500765590200445,6.035,5.614371858155523,-8,0
21,93,Nicaragua,Anastasio Somoza Debayle,49,1974,1975,A,2633,0,1.0790513833992095,6.279,5.6470357407703125,-8,0
21,93,Nicaragua,Anastasio Somoza Debayle,50,1975,1976,A,2633,0,1.0563689110781271,6.263,5.674758662615209,-8,0
21,93,Nicaragua,Anastasio Somoza Debayle,51,1976,1977,A,2633,0,1.0545864561915501,6.36,5.710946749840219,-8,0
21,93,Nicaragua,Anastasio Somoza Debayle,52,1977,1978,A,2633,0,1.0300910865322057,6.333,5.749934240677345,-8,0
21,93,Nicaragua,Anastasio Somoza Debayle,53,1978,1979,A,2633,1,0.9039015030380555,5.653,5.771438007860366,-8,3
22,93,Nicaragua,Daniel Ortega,69,2014,2015,A,3853,0,1.1088553750966745,4.588,6.473514082232203,9,0
22,93,Nicaragua,Daniel Ortega,70,2015,2016,A,3853,0,1.1160735163447597,4.773,6.48878539044281,9,0
22,93,Nicaragua,Daniel Ortega,71,2016,2017,A,3853,0,1.1153932837502816,4.949,6.5002215327166715,6,0
22,93,Nicaragua,Daniel Ortega,72,2017,2018,A,3853,0,1.1031201112463063,5.077,6.511339600988403,6,0
22,93,Nicaragua,Daniel Ortega,73,2018,2019,A,3853,0,1.0383775613033253,4.946,6.519415688495915,6,0
23,95,Panama,Diaz Arosomena,75,1948,1949,B,300,0,0.9138467651148929,2.76,4.479731671789571,-3,0
24,95,Panama,Torrijos Herrera,49,1978,1979,A,1023,0,1.0364387551220835,6.121,5.29849735034998,-6,0
24,95,Panama,Torrijos Herrera,50,1979,1980,A,1023,0,1.0705510114780032,6.361,5.3226050191043806,-6,0
24,95,Panama,Torrijos Herrera,51,1980,1981,A,1023,0,1.129551565041325,6.806,5.349015233703971,-6,0
25,100,Colombia,Alvaro Uribe Velez,53,2005,2006,A,1825,0,1.0839209662780143,9.315,8.401387200119071,7,4
25,100,Colombia,Alvaro Uribe Velez,54,2006,2007,A,1825,0,1.1155196789346469,9.784,8.416226564033083,7,4
25,100,Colombia,Alvaro Uribe Velez,55,2007,2008,A,1825,0,1.1304799593217343,10.227,8.432619785612832,7,4
25,100,Colombia,Alvaro Uribe Velez,56,2008,2009,A,1825,0,1.1374276472591078,10.69,8.444229733287168,7,4
25,100,Colombia,Alvaro Uribe Velez,57,2009,2010,A,1825,0,1.111440063703371,10.887,8.453094253647738,7,4
26,101,Venezuela,Betancourt,38,1946,1947,B,850,0,1.2707752658201714,4.924,6.146312126901182,-3,0
26,101,Venezuela,Betancourt,39,1947,1948,B,850,0,1.2696688869582007,5.261,6.1790451674198446,-3,0
27,101,Venezuela,Delgado Chalbaud,39,1948,1949,B,719,0,1.2672256165544307,5.683,6.218920785404458,-3,0
27,101,Venezuela,Delgado Chalbaud,40,1949,1950,B,719,1,1.2370774532326878,6.031,6.256970026635691,-3,0
28,101,Venezuela,Hugo Chavez,55,2009,2010,A,1127,0,1.1329904358495957,13.481,7.9899617247443215,-3,0
28,101,Venezuela,Hugo Chavez,56,2010,2011,A,1127,0,1.0954158625707866,13.85,8.006807137691846,-3,0
28,101,Venezuela,Hugo Chavez,57,2011,2012,A,1127,0,1.083987476745769,14.334,8.023930106120517,-3,0
29,115,Suriname,Bouterse,34,1980,1981,B,2721,0,1.033975781229116,7.736,3.636453940060165,-1,0
29,115,Suriname,Bouterse,35,1981,1982,B,2721,0,1.0128525340826309,7.786,3.641945066924722,-1,0
29,115,Suriname,Bouterse,36,1982,1983,B,2721,0,0.9781413779879842,7.652,3.6406603768433343,-6,0
