idacr,adm0,leader,startdate
POL,Poland,Donald Tusk,13dec2023
POR,Portugal,Rebelo de Sousa,09mar2016
PRK,North Korea,Kim Jong Un,17dec2011
QAT,Qatar,Tamim ibn Hamad Al Thani,25jun2013
ROK,South Korea,Yoon Suk Xeol,09may2022
RUM,Romania,Klaus Iohannis,21dec2014
RUS,Russia,Putin,31dec1999
RWA,Rwanda,Paul Kagame,19jul1994
SAF,South Africa,Cyril Ramaphosa,14feb2018
SAL,El Salvador,Claudia Guevara,01dec2023
SAU,Saudi Arabia,Salman bin Abdulaziz Al Saud,23jan2015
SEN,Senegal,Macky Sall,02apr2012
SER,Serbia,Brnabic,29jun2017
SIE,Sierra Leone,Julius Maada Bio,04apr2018
SIN,Singapore,Lee Hsien Loong,12aug2004
SLO,Slovakia,Robert Fico,25oct2023
SLV,Slovenia,Robert Golob,01jun2022
SOL,Solomon Islands,Manasseh Sogavare,24apr2019
SOM,Somalia,Hassan Sheikh Mohamud,23may2022
SPN,Spain,Pedro Sánchez,01jun2018
SRI,Sri Lanka,Ranil Wickremesinghe,14jul2022
SSD,South Sudan,Salva Kiir,09jul2011
SUD,Sudan,Abdel Fattah al-Burhan,11apr2019
SUR,Suriname,Chan Santokhi,16jul2020
SWA,Swaziland,Mswati,25apr1986
SWD,Sweden,Kristersson,18oct2022
SWZ,Switzerland,Viola Amherd,31dec2023
SYR,Syria,Bashar al-Assad,10jun2000
TAJ,Tajikistan,Emomali Rahmon,20nov1992
TAW,Taiwan,Tsai Ing-Wen,20may2016
TAZ,Tanzania,Samia Suluhu Hassan,17mar2021
THI,Thailand,Srettha Thavisin,22aug2023
TKM,Turkmenistan,Serdar Berdymukhammedov,19mar2022
TOG,Togo,Faure Gnassingbe,04may2005
TRI,Trinidad and Tobago,Keith Rowley,09sep2015
TUN,Tunisia,Kais Saied,23oct2019
TUR,Turkey,Erdogan,14mar2003
UAE,United Arab Emirates,Mohamed bin Zayed Al Nahyan,13may2022
UGA,Uganda,Museveni,29jan1986
UKG,United Kingdom,Sunak,25oct2022
UKR,Ukraine,Volodymyr Zelensky,20may2019
URU,Uruguay,Luis Lacalle Pou,01mar2020
USA,United States,Joe Biden,20jan2021
UZB,Uzbekistan,Shavkat Mirziyoyev,08sep2016
VEN,Venezuela,Maduro,05mar2012
YEM,Yemen,Rashad Mohammed al-Alimi,07apr2022
ZAM,Zambia,Hakainde Hichilema,24aug2021
ZIM,Zimbabwe,Mnangagwa,24nov2017
