"","ccode","year","coup","pre_coups","time_since_last_coup","coup_dummy"
"173",2,1952,0,0,2,0
"174",20,1952,0,0,2,0
"175",40,1952,2,0,2,0
"176",41,1952,0,1,2,1
"177",42,1952,0,0,2,0
"178",70,1952,0,0,2,0
"179",90,1952,0,0,2,0
"180",91,1952,0,0,2,0
"181",92,1952,0,0,2,0
"182",93,1952,0,0,2,0
"183",94,1952,0,0,2,0
"184",95,1952,0,1,1,1
"185",100,1952,0,0,2,0
"186",101,1952,1,0,2,0
"187",130,1952,1,0,2,0
"188",135,1952,0,0,2,0
"189",140,1952,0,0,2,0
"190",145,1952,2,2,1,1
"191",150,1952,0,0,2,0
"192",155,1952,0,0,2,0
"193",160,1952,0,1,1,1
"194",165,1952,0,0,2,0
"195",200,1952,0,0,2,0
"196",205,1952,0,0,2,0
"197",210,1952,0,0,2,0
"198",211,1952,0,0,2,0
"199",212,1952,0,0,2,0
"200",220,1952,0,0,2,0
"201",221,1952,0,0,2,0
"202",223,1952,0,0,2,0
"203",225,1952,0,0,2,0
"204",230,1952,0,0,2,0
"205",232,1952,0,0,2,0
"206",235,1952,0,0,2,0
"207",260,1952,0,0,2,0
"208",265,1952,0,0,2,0
"209",290,1952,0,0,2,0
"210",305,1952,0,0,2,0
"211",310,1952,0,0,2,0
"212",315,1952,0,0,2,0
"213",325,1952,0,0,2,0
"214",331,1952,0,0,2,0
"215",339,1952,0,0,2,0
"216",345,1952,0,0,2,0
"217",350,1952,0,0,2,0
"218",355,1952,0,0,2,0
"219",360,1952,0,0,2,0
"220",365,1952,0,0,2,0
"221",375,1952,0,0,2,0
"222",380,1952,0,0,2,0
"223",385,1952,0,0,2,0
"224",390,1952,0,0,2,0
"225",395,1952,0,0,2,0
"226",450,1952,0,0,2,0
"227",530,1952,0,0,2,0
"228",560,1952,0,0,2,0
"229",620,1952,0,0,1,0
"230",630,1952,0,0,2,0
"231",640,1952,0,0,2,0
"232",645,1952,0,0,2,0
"233",651,1952,2,0,2,0
"234",652,1952,0,1,1,1
"235",660,1952,0,0,2,0
"236",663,1952,0,0,2,0
"237",666,1952,0,0,2,0
"238",670,1952,0,0,2,0
"239",678,1952,0,0,2,0
"240",698,1952,0,0,2,0
"241",700,1952,0,0,2,0
"242",710,1952,0,0,2,0
"243",712,1952,0,0,2,0
"244",713,1952,0,0,2,0
"245",731,1952,0,0,2,0
"246",732,1952,0,0,2,0
"247",740,1952,0,0,2,0
"248",750,1952,0,0,2,0
"249",760,1952,0,0,2,0
"250",770,1952,0,0,2,0
"251",775,1952,0,0,2,0
